"sitecode","threshold","year","aoi","cover","loss","sitename","sitename_short","sitename_abbrev","sitename_database","sitetype","country","continent","sitename_pretty","sitename_pretty_detailed","continent_long","loss_cum","loss_pct","loss_pct_cum"
"BBS","75%",2012-01-01,"PA_0",295955.56162938,573.432265190305,"Bukit Barisan","Bukit Barisan","Bukit Barisan","Bukit Barisan","III","IDN","AS","Indonesia","Indonesia","Asia",13310.3688403339,0.185417211756683,4.30385876003803
"BCI","75%",2012-01-01,"PA_0",12160.2638594759,3.5875485914298,"Barro Colorado Nature Monument - Soberania National Park","Barro Colorado - Soberania","Barro Col.","Barro Colorado Nature Monument - Soberania National Park","II","PAN","LA","Panama","Panama","Latin America",28.1343859231582,0.0294341267753048,0.230829230853024
"BIF","75%",2012-01-01,"PA_0",26035.1150154532,8.4130100223107,"Bwindi Impenetrable Forest","Bwindi","Bwindi","Bwindi Impenetrable Forest","III","UGA","AF","Uganda","Uganda","Africa",124.665201694387,0.0321600944368639,0.476552939893087
"CAX","75%",2012-01-01,"PA_0",34743.7483897237,3.15401002739108,"Caxiuanã","Caxiuanã","Caxiuanã","CaxiuanÃ£","I","BRA","LA","Brazil 1","Brazil (Caxiuanã)","Latin America",49.1259501292679,0.00906510337887883,0.141195434586436
"COU","75%",2012-01-01,"PA_0",1645941.97254859,781.412339765954,"Cocha Cashu - Manu National Park","Cocha Cashu - Manu","Cocha Cashu","Cocha Cashu - Manu National Park","I","PER","LA","Peru 1","Peru (Cocha Cashu)","Latin America",5306.59699597696,0.0473225142584971,0.321368756579187
"CSN","75%",2012-01-01,"PA_0",1626257.03159046,480.08086051128,"Central Suriname Nature Reserve","Central Suriname","Cent. Suriname","Central Suriname Nature Reserve","I","SUR","LA","Surinam","Surinam","Latin America",1017.41560277928,0.0295021446037781,0.0625226804571376
"KRP","75%",2012-01-01,"PA_0",89355.5382585809,0.285746777334437,"Korup National Park","Korup","Korup","Korup National Park","II","CMR","AF","Cameroon","Cameroon","Africa",55.2296331210547,0.00031958877445337,0.0617706730669746
"MAS","75%",2012-01-01,"PA_0",1151277.09246249,932.437946584371,"Manaus","Manaus","Manaus","Manaus","II","BRA","LA","Brazil 2","Brazil (Manaus)","Latin America",17681.4056876504,0.0797665569872618,1.51257771046885
"NAK","75%",2012-01-01,"PA_0",157812.429965486,364.514076642567,"Nam Kading","Nam Kading","Nam Kading","Nam Kading","III","LAO","AS","Laos","Laos","Asia",2404.46563514173,0.227512882006645,1.50075660006254
"NNN","75%",2012-01-01,"PA_0",411183.484710971,5.54106311329588,"Nouabalé Ndoki","Nouabalé Ndoki","Nou. Ndoki","NouabalÃ© Ndoki","I","COG","AF","Congo Republic","Congo Republic","Africa",367.6892285529,0.0013463849611349,0.0893422864119763
"PSH","75%",2012-01-01,"PA_0",12163.1628368988,474.832390577545,"Pasoh Forest Reserve","Pasoh","Pasoh","Pasoh Forest Reserve","III","MYS","AS","Malaysia","Malaysia","Asia",1314.01125004917,3.52323408092945,9.74990188278216
"RNF","75%",2012-01-01,"PA_0",36389.3631266503,13.1944628308195,"Ranomafana","Ranomafana","Ranomafana","Ranomafana","III","MDG","AF","Madagascar","Madagascar","Africa",304.997813127663,0.0359577398076887,0.831184425389557
"UDZ","75%",2012-01-01,"PA_0",61749.8940025669,69.1417370808852,"Udzungwa","Udzungwa","Udzungwa","Udzungwa","II","TZA","AF","Tanzania","Tanzania","Africa",1382.45226193081,0.109518719280938,2.18976854770917
"VB","75%",2012-01-01,"PA_0",48806.1582770363,1.88163455891067,"Volcán Barva","Volcán Barva","Volcán Barva","VolcÃ¡n Barva","III","CRI","LA","Costa Rica","Costa Rica","Latin America",19.6677221055347,0.00385376902572778,0.0402813914625437
"YAN","75%",2012-01-01,"PA_0",278158.753869635,567.180859200914,"Yanachaga Chimillén National Park","Yanachaga Chimillén","Yan. Chimillén","Yanachaga ChimillÃ©n National Park","I","PER","LA","Peru 2","Peru (Yanachaga)","Latin America",2892.09518803641,0.201807203608387,1.02902915886333
"YAS","75%",2012-01-01,"PA_0",1028922.54265507,144.45919642086,"Yasuni","Yasuni","Yasuni","Yasuni","I","ECU","LA","Ecuador","Ecuador","Latin America",1365.04210678851,0.0140212498488227,0.132491367165609
